session_name,physiology_modality,subject_id,collection_date,collection_site,investigators,rig_id,funding_source,on_vast,vast_path,ISSUE_DESCRIPTION,REWARD_CONSUMED_TOTAL_MICROLITER,SESSION_DURATION_MINUTES,TOTAL_TRIALS,TOTAL_LICKS,LEFT_REWARDS,RIGHT_REWARDS,LEFT_LICKS,RIGHT_LICKS,SESSION_DURATION_SECONDS,TRIAL_TYPE_CSPLUS_COUNT,TRIAL_TYPE_CSMINUS_COUNT,SESSION_NOTES,SESSION_START_TIME,SESSION_END_TIME,DATA_STREAM_START_TIME,DATA_STREAM_END_TIME,IACUC_PROTOCOL,EXPERIMENTER_FULL_NAME_LIST,SUBJECT_WEIGHT_PRIOR,SUBJECT_WEIGHT_POST,DATE_OF_BIRTH,BREEDING_INFO,GENOTYPE,SUBJECT_SEX,has_procedure_metadata,has_subject_metadata
mKJ005d20230624,fiber_photometry,KJ005,2023-06-24,hopkins,"Sue Su, Jeremiah Cohen",hopkins_fiber,,True,scratch/sueSu/KJ005/mKJ005d20230624,Success,717.0,59.41875,489.0,4549.0,69.0,170.0,1578.0,2971.0,3565.125,470.0,19.0,,,,,,,,,,,,,,True,True
mKJ005d20230626,fiber_photometry,KJ005,2023-06-26,hopkins,"Sue Su, Jeremiah Cohen",hopkins_fiber,,True,scratch/sueSu/KJ005/mKJ005d20230626,Success,855.0,70.30494999999999,570.0,4870.0,163.0,122.0,3141.0,1729.0,4218.297,544.0,26.0,,,,,,,,,,,,,,True,True
mKJ005d20230627,fiber_photometry,KJ005,2023-06-27,hopkins,"Sue Su, Jeremiah Cohen",hopkins_fiber,,True,scratch/sueSu/KJ005/mKJ005d20230627,Success,819.0,66.71935,552.0,4286.0,109.0,164.0,1887.0,2399.0,4003.161,524.0,28.0,,,,,,,,,,,,,,True,True
mKJ005d20230628,fiber_photometry,KJ005,2023-06-28,hopkins,"Sue Su, Jeremiah Cohen",hopkins_fiber,,True,scratch/sueSu/KJ005/mKJ005d20230628,Success,1047.0,79.84276666666666,660.0,5136.0,209.0,140.0,3111.0,2025.0,4790.566,644.0,16.0,,,,,,,,,,,,,,True,True
mKJ005d20230629,fiber_photometry,KJ005,2023-06-29,hopkins,"Sue Su, Jeremiah Cohen",hopkins_fiber,,True,scratch/sueSu/KJ005/mKJ005d20230629,Success,702.0,49.34128333333333,438.0,3590.0,99.0,135.0,1541.0,2049.0,2960.477,425.0,13.0,,,,,,,,,,,,,,True,True
mKJ005d20230630,fiber_photometry,KJ005,2023-06-30,hopkins,"Sue Su, Jeremiah Cohen",hopkins_fiber,,True,scratch/sueSu/KJ005/mKJ005d20230630,Success,1380.0,87.88674999999999,785.0,5968.0,138.0,322.0,1814.0,4154.0,5273.205,753.0,32.0,,,,,,,,,,,,,,True,True
mKJ005d20230701,fiber_photometry,KJ005,2023-07-01,hopkins,"Sue Su, Jeremiah Cohen",hopkins_fiber,,True,scratch/sueSu/KJ005/mKJ005d20230701,Success,1104.0,78.78490000000001,705.0,5534.0,221.0,147.0,3027.0,2507.0,4727.094,675.0,30.0,,,,,,,,,,,,,,True,True
mKJ005d20230702,fiber_photometry,KJ005,2023-07-02,hopkins,"Sue Su, Jeremiah Cohen",hopkins_fiber,,True,scratch/sueSu/KJ005/mKJ005d20230702,Success,1263.0,82.57756666666667,744.0,6454.0,217.0,204.0,3160.0,3294.0,4954.654,708.0,36.0,,,,,,,,,,,,,,True,True
mKJ005d20230703,fiber_photometry,KJ005,2023-07-03,hopkins,"Sue Su, Jeremiah Cohen",hopkins_fiber,,True,scratch/sueSu/KJ005/mKJ005d20230703,Success,1035.0,74.71148333333333,639.0,5683.0,238.0,107.0,3886.0,1797.0,4482.689,619.0,20.0,,,,,,,,,,,,,,True,True
mKJ005d20230704,fiber_photometry,KJ005,2023-07-04,hopkins,"Sue Su, Jeremiah Cohen",hopkins_fiber,,True,scratch/sueSu/KJ005/mKJ005d20230704,Success,1056.0,73.69211666666666,614.0,5859.0,169.0,183.0,2879.0,2980.0,4421.527,593.0,21.0,,,,,,,,,,,,,,True,True
mKJ005d20230705,fiber_photometry,KJ005,2023-07-05,hopkins,"Sue Su, Jeremiah Cohen",hopkins_fiber,,True,scratch/sueSu/KJ005/mKJ005d20230705,Success,1212.0,77.88641666666668,674.0,6439.0,209.0,195.0,3285.0,3154.0,4673.185,647.0,27.0,,,,,,,,,,,,,,True,True
mKJ005d20230706,fiber_photometry,KJ005,2023-07-06,hopkins,"Sue Su, Jeremiah Cohen",hopkins_fiber,,True,scratch/sueSu/KJ005/mKJ005d20230706,Success,1029.0,68.70416666666667,621.0,5305.0,155.0,188.0,2151.0,3154.0,4122.25,602.0,19.0,,,,,,,,,,,,,,True,True
mKJ005d20230707,fiber_photometry,KJ005,2023-07-07,hopkins,"Sue Su, Jeremiah Cohen",hopkins_fiber,,True,scratch/sueSu/KJ005/mKJ005d20230707,Success,780.0,60.57035,560.0,4377.0,87.0,173.0,1244.0,3133.0,3634.221,538.0,22.0,,,,,,,,,,,,,,True,True
